"last_name, first_name","player_id","year","player_age","pa","double","home_run","k_percent","bb_percent","xwoba","exit_velocity_avg","out_zone_swing_miss","pull_percent","opposite_percent","groundballs_percent"
"Suzuki, Seiya",673548,2024,29,585,27,21,27.4,10.8,".346","91.7",123,32.6,22.5,33.7
"Jung, Josh",673962,2024,26,188,5,7,25.5,4.3,".292","86.2",60,29.8,30.5,42.7
"Westburg, Jordan",676059,2024,25,447,26,18,21.7,4.9,".353","91.1",123,38.3,22.1,41.7
"Noda, Ryan",676116,2024,28,111,4,1,33.3,12.6,".250","86.2",28,52.5,20.3,44.1
"DeLuca, Jonny",676356,2024,25,362,12,6,21.3,6.6,".272","84.6",96,40.5,23.7,38.5
"Velázquez, Nelson",676369,2024,25,230,8,8,26.5,8.3,".304","88.2",80,42.9,27.2,38.8
"Clement, Ernie",676391,2024,28,452,21,12,9.1,2.4,".282","85.5",70,42.6,20.4,38.8
"Burleson, Alec",676475,2024,25,595,20,21,12.8,5.9,".329","89.7",118,33.5,27.8,42.5
"Caballero, José",676609,2024,27,483,24,9,27.5,5.6,".267","83.7",167,49.4,14.3,42.4
"Meyers, Jake",676694,2024,28,513,20,13,22.8,6.8,".304","88.2",145,43.9,21.9,44.2
"McCormick, Chas",676801,2024,29,267,6,5,27,6.4,".285","86.2",79,35.1,22.4,44.8
"Schneider, Davis",676914,2024,25,454,19,13,31.7,10.4,".292","88.6",121,46.1,26.7,29.8
"Kjerstad, Heston",677008,2024,25,114,2,4,28.9,8.8,".295","90.2",45,28.8,30.3,45.5
"Rocchio, Brayan",677587,2024,23,442,18,8,20.4,10,".275","84.6",105,37.7,21.7,47.7
"Tena, José",677588,2024,23,168,5,3,24.4,4.2,".305","91.2",44,24.2,31.7,47.5
"Rodríguez, Julio",677594,2024,23,613,17,20,25.4,6.2,".344","91.7",228,33.4,27.4,44.6
"Duran, Ezequiel",677649,2024,25,285,11,3,22.1,4.9,".252","87.1",89,29.1,30.6,47.6
"Abreu, Wilyer",677800,2024,25,447,33,15,28,8.9,".317","91.6",116,43.7,23.7,34.1
"Jimenez, Leo",677870,2024,23,210,11,4,28.1,5.7,".311","87.6",52,35,29.3,41.5
"Alexander, Blaze",677942,2024,25,185,7,3,26.5,8.1,".258","88.5",60,25.4,38.1,52.5
"Thomas, Alek",677950,2024,24,103,5,3,16.5,6.8,".337","91.2",24,44.3,20.3,60.8
"Witt Jr., Bobby",677951,2024,24,709,45,32,15,8,".407","92.7",161,32.3,28.1,37.5
