"last_name, first_name","player_id","year","whiff_percent"
"Gil, Luis",661563,2024,29
"Cobb, Alex",502171,2022,24.9
"Glasnow, Tyler",607192,2024,30.9
"Berríos, José",621244,2022,21.3
"Littell, Zack",641793,2024,23.1
"Javier, Cristian",664299,2023,27.1
"Corbin, Patrick",571578,2022,20.9
"Falter, Bailey",663559,2024,19.6
"Darvish, Yu",506433,2022,25.1
"Eovaldi, Nathan",543135,2023,26.4
"Kirby, George",669923,2022,21.2
"Kirby, George",669923,2024,24.1
"Peterson, David",656849,2024,25.6
"Schmidt, Clarke",657376,2023,22.8
"Greinke, Zack",425844,2022,17.4
"Steele, Justin",657006,2024,23.7
"Keller, Mitch",656605,2022,21.6
"Pallante, Andre",669467,2024,19.8
"Plesac, Zach",668676,2022,22
"Quintana, Jose",500779,2022,24
"Alcantara, Sandy",645261,2023,25.4
"Gray, Josiah",680686,2022,27
"Taillon, Jameson",592791,2023,22
"Crawford, Kutter",676710,2023,26.8
"Pérez, Martín",527048,2023,17.5
"Estes, Joey",683155,2024,19.2
"Burnes, Corbin",669203,2022,35.2
"Bibee, Tanner",676440,2023,26.3
"Hudson, Dakota",641712,2022,17.6
"Nola, Aaron",605400,2023,26
"Bieber, Shane",669456,2022,29.7
"Nola, Aaron",605400,2024,25.2
"Cobb, Alex",502171,2023,21.7
"Burnes, Corbin",669203,2023,28.8
"Fried, Max",608331,2022,26.1
"Fried, Max",608331,2024,24.1
"Bubic, Kris",663460,2022,21.3
"Quantrill, Cal",615698,2024,21.6
"Stroman, Marcus",573186,2022,22.4
"Irvin, Jake",663623,2024,22.3
"Lugo, Seth",607625,2024,22.5
"Castillo, Luis",622491,2024,25.9
"Sandoval, Patrick",663776,2023,27.7
"Pivetta, Nick",601713,2022,23.5
"Singer, Brady",663903,2023,22.7
"Cueto, Johnny",456501,2022,17.6
"Gray, Jon",592351,2022,25.9
"Montgomery, Jordan",656756,2022,27.5
"Valdez, Framber",664285,2024,27.2
"Gilbert, Logan",669302,2022,24.2
"Urquidy, José",664353,2022,22.3
"Gausman, Kevin",592332,2024,23.4
"Lugo, Seth",607625,2023,21.9
"Montgomery, Jordan",656756,2024,26.9
"Ryan, Joe",657746,2024,26.6
"Stripling, Ross",548389,2022,23.6
"Manaea, Sean",640455,2022,25.6
"Assad, Javier",665871,2024,17.9
"Imanaga, Shota",684007,2024,28.3
"Gallen, Zac",668678,2023,26.4
"Sandoval, Patrick",663776,2022,29.6
"Musgrove, Joe",605397,2022,25.5
"Webb, Logan",657277,2022,24.1
"Heaney, Andrew",571760,2024,26.3
"López, Pablo",641154,2023,30.3
"Javier, Cristian",664299,2022,30.4
"Kuhl, Chad",641771,2022,23.6
"Gilbert, Logan",669302,2024,31.7
"Scherzer, Max",453286,2022,30.6
"Wheeler, Zack",554430,2023,28.6
"Weaver, Luke",596133,2023,21.6
"France, J.P.",641585,2023,21.9
"Hill, Rich",448179,2022,22
"Peralta, Freddy",642547,2023,33.6
"Heaney, Andrew",571760,2023,26.5
"Pfaadt, Brandon",694297,2024,25.4
"Clevinger, Mike",605182,2023,23.2
"Rasmussen, Drew",656876,2022,25.3
"Gonzales, Marco",594835,2022,18.3
"Alcantara, Sandy",645261,2022,25.4
"Peralta, Freddy",642547,2024,31.1
"Strider, Spencer",675911,2023,38.6
"Garrett, Braxton",666129,2023,25.4
"Lynn, Lance",458681,2024,24.1
"Woodruff, Brandon",605540,2022,31.1
"Márquez, Germán",608566,2022,23.2
